element,image
2_54_22,3_53_21
2_55_7,3_54_6
2_55_10,3_54_9
2_55_11,3_54_10
2_55_12_0,3_54_11_0
2_55_12_1,3_54_11_1
2_55_13,3_54_12
2_55_15,3_54_14
2_55_16,3_54_15
2_55_18,3_54_17
2_55_21,3_54_20
2_55_24,3_54_23
2_56_8,3_55_7
2_56_9,3_55_8
2_56_10,3_55_9
2_56_11_0,3_55_10_0
2_56_11_1,3_55_10_1
2_56_12_0,3_55_11_1
2_56_12_1,3_55_11_0
2_56_13,3_55_12
2_56_14,3_55_13
2_56_15,3_55_14
2_56_17,3_55_16
2_56_18,3_55_17
2_56_20,3_55_19
2_56_23,3_55_22
2_57_8,3_56_7
2_57_9_0,3_56_8_1
2_57_9_1,3_56_8_0
2_57_10,3_56_9
2_57_11_0,3_56_10_0
2_57_11_1,3_56_10_1
2_57_12_0,3_56_11_1
2_57_12_1,3_56_11_0
2_57_13,3_56_12
2_57_14_0,3_56_13_0
2_57_14_1,3_56_13_1
2_57_16,3_56_15
2_57_17,3_56_16
2_57_19_0,3_56_18_0
2_57_19_1,3_56_18_1
2_57_22,3_56_21
2_58_8,3_57_7
2_58_9_0,3_57_8_0
2_58_9_1,3_57_8_1
2_58_10,3_57_9
2_58_11_0,3_57_10_0
2_58_11_1,3_57_10_1
2_58_12,3_57_11
2_58_13,3_57_12
2_58_14,3_57_13
2_58_15,3_57_14
2_58_16,3_57_15
2_58_18,3_57_17
2_58_19,3_57_18
2_58_20,3_57_19
2_58_21,3_57_20
2_59_8,3_58_7
2_59_9,3_58_8
2_59_10_0,3_58_9_0
2_59_10_1,3_58_9_1
2_59_11,3_58_10
2_59_13,3_58_12
2_59_14,3_58_13
2_59_15_0,3_58_14_0
2_59_15_1,3_58_14_1
2_59_17,3_58_16
2_59_18,3_58_17
2_59_20_0,3_58_19_0
2_59_20_1,3_58_19_1
2_60_8,3_59_7
2_60_10,3_59_9
2_60_12_0,3_59_11_0
2_60_12_1,3_59_11_1
2_60_13_0,3_59_12_0
2_60_13_1,3_59_12_1
2_60_14,3_59_13
2_60_16,3_59_15
2_60_17,3_59_16
2_60_19,3_59_18
2_61_9,3_60_8
2_61_10,3_60_9
2_61_12_0,3_60_11_0
2_61_12_1,3_60_11_1
2_61_13,3_60_12
2_61_15,3_60_14
2_61_16,3_60_15
2_61_18,3_60_17
2_62_8,3_61_7
2_62_9_0,3_61_8_0
2_62_9_1,3_61_8_1 + 3_61_8_0
2_62_11_0,3_61_10_0
2_62_11_1,3_61_10_1 + 3_61_10_0
2_62_12,3_61_11
2_62_13,3_61_12
2_62_14,3_61_13
2_62_15,3_61_14
