factor1,generator,result
0_34_17,h0,0_34_18
0_34_17,h1,0_35_18
0_34_17,h3,0_41_18
0_41_10_0,h1,0_42_11
0_46_6,h1,0_47_7_1
0_47_6,h0,0_47_7_1
0_47_6,h1,0_48_7_0
0_46_7_0,h1,0_47_8_2
0_46_7_1,h1,0_47_8_1
0_35_18,h1,0_36_19
0_35_18,h3,0_42_19
0_49_4,h2,0_52_5
0_50_4,h2,0_53_5_1
0_49_5,h2,0_52_6
0_47_8_2,h1,0_48_9
0_50_6_1,h2,0_53_7
0_39_17,h1,0_40_18
0_48_8_0,h1,0_49_9_0
0_48_8_1,h0,0_48_9
0_48_8_1,h1,0_49_9_1
0_51_5,h1,0_52_6
0_51_6,h2,0_54_7
0_59_10,h1,0_60_11
0_51_4,h2,0_54_5
0_48_7_1,h2,0_51_8
0_65_6,h2,0_68_7_1
0_64_7_0,h1,0_65_8_0
0_64_7_0,h2,0_67_8_0
0_64_7_1,h2,0_67_8_1
0_63_8_0,h2,0_66_9_0
0_63_8_1,h0,0_63_9_1
0_63_8_1,h1,0_64_9_1
0_63_8_1,h2,0_66_9_1 + 0_66_9_0
0_40_17,h0,0_40_18
0_40_17,h1,0_41_18
0_64_3,h0,0_64_4
0_64_3,h1,0_65_4
0_47_13_0,h1,0_48_14
0_49_14_0,h1,0_50_15
0_65_5,h2,0_68_6_0 + 0_68_6_1
0_66_6_0,h2,0_69_7
0_69_4,h1,0_70_5
0_65_4,h1,0_66_5
0_62_8_1,h2,0_65_9
0_62_8_2,h1,0_63_9_1
0_61_9_0,h1,0_62_10_0
0_61_9_1,h1,0_62_10_0
0_58_6,h3,0_65_7_1
0_56_7,h1,0_57_8
0_66_3,h1,0_67_4
0_54_9,h1,0_55_10
0_53_10,h1,0_54_11
0_62_2,h1,0_63_3
0_62_2,h2,0_65_3_0
0_38_16,h1,0_39_17
0_47_7_0,h0,0_47_8_1
0_47_7_0,h1,0_48_8_0
0_47_7_0,h3,0_54_8
0_64_2,h1,0_65_3_1
0_64_2,h3,0_71_3
0_63_3,h1,0_64_4
0_62_4,h0,0_62_5_0
0_62_4,h1,0_63_5_0
0_62_4,h2,0_65_5
0_62_4,h3,0_69_5
0_65_2,h0,0_65_3_1
0_65_2,h1,0_66_3
0_65_2,h3,0_72_3
0_64_6_0,h1,0_65_7_1
0_54_10,h2,0_57_11
0_63_1,h1,0_64_2
0_63_1,h2,0_66_2
0_63_1,h3,0_70_2
0_54_11,h1,0_55_12_1
0_54_16,h1,0_55_17_0 + 0_55_17_1
0_52_8_0,h1,0_53_9
0_39_18,h1,0_40_19
0_39_18,h2,0_42_19
0_41_18,h1,0_42_19
0_43_22,h1,0_44_23
0_43_22,h3,0_50_23
0_61_4,h1,0_62_5_0
0_61_4,h2,0_64_5
0_57_9,h1,0_58_10
0_48_13,h0,0_48_14
0_48_13,h1,0_49_14_0 + 0_49_14_1
0_55_6,h0,0_55_7
0_55_6,h1,0_56_7
0_69_3,h2,0_72_4_1
0_68_4,h2,0_71_5_2
0_62_5_1,h1,0_63_6_1
0_62_5_1,h2,0_65_6
0_62_5_1,h3,0_69_6_1
0_61_6_0,h2,0_64_7_1
0_61_6_0,h3,0_68_7_2
0_61_6_1,h3,0_68_7_1
0_59_8,h3,0_66_9_1
0_58_9,h3,0_65_10_0
0_42_20,h1,0_43_21
0_56_10_1,h1,0_57_11
0_56_10_1,h3,0_63_11
0_41_19,h0,0_41_20
0_41_19,h1,0_42_20
0_40_19,h1,0_41_20
0_55_17_1,h1,0_56_18
0_40_20,h1,0_41_21
0_40_20,h2,0_43_21
0_40_20,h3,0_47_21
0_67_5_1,h1,0_68_6_1
0_67_5_1,h2,0_70_6_1
0_41_21,h1,0_42_22
0_41_21,h3,0_48_22
0_70_2,h1,0_71_3
0_66_2,h2,0_69_3
0_42_21,h0,0_42_22
0_42_21,h1,0_43_22
0_42_21,h3,0_49_22
0_62_7,h2,0_65_8_0
0_63_6_0,h2,0_66_7_0
0_63_5_0,h1,0_64_6_1
0_63_5_1,h0,0_63_6_1
0_63_5_1,h1,0_64_6_0
0_63_5_1,h2,0_66_6_0
0_63_5_1,h3,0_70_6_0
0_62_6,h2,0_65_7_0
0_65_3_1,h3,0_72_4_1
0_62_10_0,h1,0_63_11
0_56_12,h1,0_57_13_0
0_55_11_0,h0,0_55_12_1
0_55_11_0,h1,0_56_12
0_60_9,h2,0_63_10_1
0_54_6,h1,0_55_7
0_46_12,h1,0_47_13_1 + 0_47_13_0
0_53_5_0,h1,0_54_6
0_72_3,h0,0_72_4_1
0_64_9_1,h1,0_65_10_0
0_63_10_0,h0,0_63_11
0_63_10_0,h1,0_64_11_0
0_70_3,h1,0_71_4_1
0_71_3,h1,0_72_4_1
0_70_4,h1,0_71_5_2
0_71_4_0,h0,0_71_5_2
0_66_7_1,h1,0_67_8_1
0_49_22,h1,0_50_23
0_56_17,h0,0_56_18
0_56_17,h1,0_57_18_0 + 0_57_18_1
0_47_21,h1,0_48_22
0_50_25,h0,0_50_26
0_49_25,h1,0_50_26
0_48_21,h0,0_48_22
0_48_21,h1,0_49_22
0_50_24,h1,0_51_25
0_63_9_0,h1,0_64_10
0_63_9_0,h2,0_66_10_1 + 0_66_10_0
0_48_24,h1,0_49_25
0_48_24,h2,0_51_25
0_64_10,h1,0_65_11
0_46_20,h1,0_47_21
0_48_23,h1,0_49_24
0_49_23,h0,0_49_24
0_49_23,h1,0_50_24
0_47_22,h1,0_48_23
0_47_22,h2,0_50_23
0_65_10_1,h0,0_65_11
