element,image
21_71_6_1,0_52_5
21_71_7_0,0_52_6
21_71_8_0,0_52_7
21_72_6_0,0_53_5_1
21_72_6_1,0_53_5_0 + 0_53_5_1
21_72_7_0,0_53_6
21_73_6,0_54_5
23_24_3,0_3_2
23_25_4,0_4_3
23_27_3,0_6_2
23_30_4_0,0_9_3_1
23_31_4,0_10_3
23_31_5_0,0_10_4
23_31_6,0_10_5
23_31_7,0_10_6
23_32_6_0,0_11_5
23_32_7_0,0_11_6
23_33_8,0_12_7
23_37_6_0,0_16_5
23_37_7_0,0_16_6
23_38_3,0_17_2
23_38_4_1,0_17_3
23_38_5_0,0_17_4
23_38_7_0,0_17_6
23_39_3,0_18_2
23_39_4_0,0_18_3
23_39_5_0,0_18_4
23_39_8,0_18_7
23_39_9_0,0_18_8
23_40_4_0,0_19_3
23_40_5_0,0_19_4
23_40_6_0,0_19_5
23_40_10_0,0_19_9
23_40_11_0,0_19_10
23_41_4_1,0_20_3
23_41_12,0_20_11
23_42_4,0_21_3
23_42_6_0,0_21_5
23_43_5,0_22_4
23_43_6,0_22_5
23_44_5_0,0_23_4_0 + 0_23_4_1
23_44_6_0,0_23_5
23_45_5_0,0_24_4
23_45_6_1,0_24_5
17_67_12_0,0_52_11
17_68_6_2,0_53_5_1
23_45_10,0_24_9
23_45_11,0_24_10
23_46_6_0,0_25_5
17_53_11,0_38_10
17_68_8_2,0_53_7
21_34_6_0,0_15_5
21_34_7,0_15_6
21_35_3,0_16_2
21_35_7_0,0_16_6
21_35_8_0,0_16_7
21_36_4,0_17_3
21_36_9,0_17_8
21_36_10,0_17_9
21_37_8_0,0_18_7
21_37_11_0,0_18_10
3_36_18,0_35_17
21_38_5,0_19_4
21_38_6_0,0_19_5
21_39_4,0_20_3
21_40_4_1,0_21_3
21_40_6_0,0_21_5
21_40_7,0_21_6
21_41_4_0,0_22_3
21_41_5_1,0_22_4
21_41_6_1,0_22_5
21_42_5_0,0_23_4_1
21_42_5_1,0_23_4_0
21_42_10,0_23_9
21_42_11,0_23_10
21_43_6,0_24_5
3_36_19,0_35_18
3_37_10,0_36_9
21_43_7,0_24_6
21_43_11_0,0_24_10
21_43_12_0,0_24_11
21_44_13,0_25_12
3_37_13,0_36_12
3_37_20,0_36_19
3_38_9,0_37_8
3_38_12,0_37_11
15_65_12_0,0_52_11
15_66_6,0_53_5_1
15_47_18_1,0_34_17
15_47_19,0_34_18
15_48_5_0,0_35_4
15_48_6_0,0_35_5
15_48_7_1,0_35_6
15_48_14_0,0_35_13
47_63_10_1,0_18_9
3_38_15,0_37_14
3_39_8,0_38_7
3_39_9,0_38_8
3_39_11,0_38_10
3_39_14,0_38_13
47_63_11_2,0_18_10
47_64_5_0,0_19_4
47_64_6_0,0_19_5
47_64_10_0,0_19_9
31_48_10,0_19_9
17_63_13,0_48_12
33_56_14,0_25_13
33_57_7_0,0_26_6
33_57_8_0,0_26_7
33_57_15_0,0_26_14
33_58_14_0,0_27_13
33_59_9,0_28_8
33_60_8_0,0_29_7
33_61_3,0_30_2
33_61_7_0,0_30_6
21_44_14,0_25_13
21_45_7_0,0_26_6
19_44_14,0_27_13
21_45_12_0,0_26_11
21_45_15_0,0_26_14
21_46_7_0,0_27_6
17_57_13,0_42_12
23_46_11_0,0_25_10
23_47_7_0,0_26_6
33_61_13_0,0_30_12
33_62_2,0_31_1
33_62_4_0,0_31_3
33_62_6_0,0_31_5_1
33_62_9_0,0_31_8
17_45_13,0_30_12
17_46_4,0_31_3
17_46_6_0,0_31_5_1
33_62_14_0,0_31_13
33_63_3_0,0_32_2
33_63_5_1,0_32_4
33_63_7_1,0_32_6
33_63_8_0,0_32_7
33_63_15_0,0_32_14
17_46_6_1,0_31_5_0 + 0_31_5_1
17_46_9_0,0_31_8
33_63_16_0,0_32_15
33_64_4_0,0_33_3
33_64_5_1,0_33_4_1
33_64_8_0,0_33_7
17_46_14_0,0_31_13
17_47_3,0_32_2
17_47_5_0,0_32_4
17_47_7_1,0_32_6
17_47_8_0,0_32_7
17_47_15,0_32_14
17_47_16_0,0_32_15
17_68_10_1,0_53_9
47_64_11,0_19_10
47_65_12_0,0_20_11
47_66_4,0_21_3
47_66_6_0,0_21_5
47_67_5_0,0_22_4
47_67_6_0,0_22_5
47_68_5_1,0_23_4_0 + 0_23_4_1
47_68_6_0,0_23_5
25_63_12,0_40_11
25_64_7_1,0_41_6_0
15_48_18,0_35_17
13_63_12,0_52_11
25_64_8_0,0_41_7
25_64_11,0_41_10_1
25_65_7_0,0_42_6
25_65_10_0,0_42_9
17_63_15_0,0_48_14
19_44_15,0_27_14
19_45_16_0,0_28_15
19_46_8_0,0_29_7
19_48_4_0,0_31_3
37_61_15,0_26_14
37_62_7_0,0_27_6
19_48_12_0,0_31_11
19_49_4,0_32_3
19_49_8,0_32_7
19_49_11_0,0_32_10
19_50_5,0_33_4_1
17_61_7_1,0_46_6
17_61_8_0,0_46_7_1
17_61_9_0,0_46_8
