element,image
15_44_4,0_31_3
15_44_9,0_31_8
15_45_4,0_32_3
15_45_5_1,0_32_4
15_45_6_0,0_32_5
15_45_8,0_32_7
15_45_14,0_32_13
15_45_15_0,0_32_14
15_46_5_0,0_33_4_1
15_46_5_1,0_33_4_0
21_53_16_0,0_34_15
17_66_13,0_51_12
17_67_6_2,0_52_5
17_67_7_0,0_52_6
17_67_7_1,0_52_6
15_46_7_1,0_33_6
15_46_8_0,0_33_7
21_53_19_0,0_34_18
21_54_7,0_35_6
21_54_11_0,0_35_10
29_64_15_0,0_37_14
29_65_3,0_38_2
29_65_4_0,0_38_3
29_65_7_0,0_38_6_0
29_65_7_1,0_38_6_1 + 0_38_6_0
29_65_8_0,0_38_7
29_65_11_0,0_38_10
17_60_4,0_45_3
17_60_6_0,0_45_5_0
17_60_6_2,0_45_5_1 + 0_45_5_0
17_60_10_0,0_45_9
17_60_13_0,0_45_12
49_63_9_2,0_16_8
49_64_4_0,0_17_3
49_64_5_0,0_17_4
49_64_9_0,0_17_8
49_64_10_0,0_17_9
49_65_3_0,0_18_2
49_65_5_1,0_18_4
49_65_11_0,0_18_10
49_66_4_1,0_19_3
49_66_10_0,0_19_9
49_67_5_1,0_20_4
49_68_4_0,0_21_3
49_68_6_0,0_21_5
49_69_5_1,0_22_4
49_69_9_0,0_22_8
49_70_5_0,0_23_4_1
49_70_6_1,0_23_5
49_70_8_0,0_23_7
49_71_6_0,0_24_5
51_52_3,0_3_2
51_53_4,0_4_3
51_58_4,0_9_3_0
51_58_5,0_9_4
51_59_4,0_10_3
51_59_5,0_10_4
51_60_6,0_11_5
51_60_7_0,0_11_6
51_61_8_0,0_12_7
51_66_7_0,0_17_6
51_66_8_0,0_17_7
51_66_9,0_17_8
51_67_4,0_18_3
51_67_8_0,0_18_7
51_67_9_0,0_18_8
51_68_5_0,0_19_4
51_68_10_0,0_19_9
51_68_11_0,0_19_10
51_70_7_0,0_21_6
51_72_5,0_23_4_0 + 0_23_4_1
51_72_6,0_23_5
51_73_5,0_24_4
51_73_6,0_24_5
53_52_2,0_1_1
53_53_3,0_2_2
53_58_3,0_7_2
53_59_3,0_8_2
53_59_4,0_8_3
53_60_4,0_9_3_1
53_60_5,0_9_4
53_60_6,0_9_5
53_61_4_1,0_10_3
53_61_7_0,0_10_6
29_65_14_0,0_38_13
29_66_4,0_39_3
29_66_5,0_39_4_1
29_66_6_0,0_39_5_1
29_66_7_0,0_39_6
29_66_8_0,0_39_7
29_66_10_0,0_39_9_1
29_66_10_1,0_39_9_0 + 0_39_9_1
29_67_5_0,0_40_4_2
29_67_5_1,0_40_4_1
29_67_6_0,0_40_5_1
29_67_7_0,0_40_6
29_67_8_0,0_40_7
29_67_9_0,0_40_8
29_67_11_0,0_40_10
29_68_4_1,0_41_3
29_68_5_0,0_41_4
29_68_7_1,0_41_6_0
29_68_8_0,0_41_7
29_68_11_0,0_41_10_1
29_69_6_1,0_42_5
29_69_10_0,0_42_9
29_72_4,0_45_3
29_72_6_0,0_45_5_0
31_31_2,0_2_1
31_31_3_1,0_2_2
31_32_2,0_3_1
31_32_3,0_3_2
31_33_4_0,0_4_3
31_35_3,0_6_2
17_55_6_0,0_40_5_1
17_55_7_1,0_40_6
17_55_9_1,0_40_8
17_55_11_0,0_40_10
17_55_12_0,0_40_11
15_67_11_1,0_54_10
15_68_8_3,0_55_7
15_68_11_0,0_55_10
23_47_15,0_26_14
15_69_8_0,0_56_7
7_47_22,0_42_21
17_55_19,0_40_18
23_48_10,0_27_9
23_48_14_0,0_27_13
23_48_15_0,0_27_14
23_49_9,0_28_8
7_47_23,0_42_22
15_69_8_3,0_56_7
7_48_9_0,0_43_8
7_48_12_0,0_43_11
7_48_15,0_43_14
23_49_16,0_28_15
23_51_10,0_30_9
53_63_8_1,0_12_7
53_66_6_0,0_15_5
53_66_7_0,0_15_6
53_67_3,0_16_2
53_67_7_0,0_16_6
53_67_8_0,0_16_7
53_68_4_0,0_17_3
53_68_9_0,0_17_8
23_52_9,0_31_8
53_68_10_0,0_17_9
23_53_4,0_32_3
53_69_8_0,0_18_7
53_70_5_1,0_19_4
23_53_6_0,0_32_5
53_70_6_0,0_19_5
53_71_4,0_20_3
53_72_4,0_21_3
53_72_6_0,0_21_5
53_72_7,0_21_6
53_73_4,0_22_3
53_73_5_1,0_22_4
53_73_6_1,0_22_5
53_74_5_0,0_23_4_1
53_74_5_1,0_23_4_0
55_56_3,0_3_2
55_57_4,0_4_3
55_59_3,0_6_2
55_62_4_0,0_9_3_1
55_63_4,0_10_3
55_63_5,0_10_4
55_63_6_1,0_10_5
55_63_7_2,0_10_6
55_64_6_0,0_11_5
55_64_7_0,0_11_6
55_65_8_0,0_12_7
55_69_6_0,0_16_5
55_69_7_0,0_16_6
55_70_3,0_17_2
55_70_4_1,0_17_3
55_70_5_0,0_17_4
55_70_7_0,0_17_6
55_71_3,0_18_2
55_71_4_0,0_18_3
55_71_5_0,0_18_4
55_71_8,0_18_7
55_72_4_0,0_19_3
55_72_5_0,0_19_4
55_72_6_0,0_19_5
55_73_4_1,0_20_3
55_74_4,0_21_3
57_56_2,0_1_1
57_57_3,0_2_2
57_58_2,0_3_1
57_61_3,0_6_2
57_63_3_0,0_8_2
57_63_4,0_8_3
57_63_5,0_8_4
57_64_4_0,0_9_3_1
57_64_5_0,0_9_4
57_64_6_0,0_9_5
57_65_7_0,0_10_6
57_66_6_0,0_11_5
57_69_3,0_14_2
57_69_5_0,0_14_4
57_70_2,0_15_1
57_70_4_0,0_15_3
57_70_6_0,0_15_5
57_71_3_0,0_16_2
57_71_7_0,0_16_6
57_71_8,0_16_7
57_72_4_0,0_17_3
57_72_5_0,0_17_4
57_73_3,0_18_2
57_73_5_1,0_18_4
57_74_4_1,0_19_3
59_60_3,0_3_2
59_61_4_0,0_4_3
59_66_3,0_9_2
59_66_4_0,0_9_3_0 + 0_9_3_1
59_66_4_1,0_9_3_1
59_66_5,0_9_4
59_67_4,0_10_3
59_67_5_0,0_10_4
59_68_6_0,0_11_5
59_68_7_0,0_11_6
59_69_8_0,0_12_7
59_71_3_0,0_14_2
59_75_4,0_18_3
61_60_2,0_1_1
61_61_3,0_2_2
61_63_4,0_4_3
61_65_3_1,0_6_2
61_66_2,0_7_1
61_66_3_0,0_7_2
61_67_3,0_8_2
61_67_4,0_8_3
61_68_4_0,0_9_3_1
61_68_5_0,0_9_4
61_68_6_0,0_9_5
61_69_4_0,0_10_3
61_69_7_0,0_10_6
61_73_3,0_14_2
61_75_3,0_16_2
63_63_2,0_2_1
63_63_3_1,0_2_2
63_64_2,0_3_1
63_64_3,0_3_2
63_65_4_0,0_4_3
63_67_3,0_6_2
63_70_3_0,0_9_2
63_70_4_0,0_9_3_1
63_71_4_0,0_10_3
63_71_5_0,0_10_4
63_72_6_0,0_11_5
63_72_7,0_11_6
65_64_2_0,0_1_1
65_65_3_0,0_2_2
65_66_2_0,0_3_1
65_69_3_0,0_6_2
65_70_2_0,0_7_1
65_71_3_0,0_8_2
65_71_4_0,0_8_3
65_72_4_0,0_9_3_1
65_72_5_0,0_9_4
65_72_6_0,0_9_5
67_68_3,0_3_2
67_69_4_0,0_4_3
67_74_4,0_9_3_0
67_74_5,0_9_4
67_75_4,0_10_3
69_68_2,0_1_1
69_69_3_0,0_2_2
69_74_3,0_7_2
69_75_3,0_8_2
69_75_4,0_8_3
71_72_3,0_3_2
71_73_4,0_4_3
71_75_3,0_6_2
73_72_2,0_1_1
73_73_3,0_2_2
73_74_2,0_3_1
75_76_3,0_3_2
77_76_2,0_1_1
17_60_16,0_45_15
17_61_5_2,0_46_4
5_34_12,0_31_11
5_34_14,0_31_13
23_53_14_0,0_32_13
5_34_15,0_31_14
5_35_8,0_32_7
23_53_15_0,0_32_14
23_54_5_0,0_33_4_1
5_35_11,0_32_10
5_35_15,0_32_14
23_54_8_0,0_33_7
23_54_10_0,0_33_9
5_35_16,0_32_15
5_35_17,0_32_16
15_69_10_0,0_56_9
5_36_8,0_33_7
15_70_9_0,0_57_8
5_36_10,0_33_9
17_16_2_0,0_1_1
17_17_3_0,0_2_2
17_18_2_0,0_3_1
17_21_3_0,0_6_2
17_22_2,0_7_1
17_23_3_0,0_8_2
17_23_4_0,0_8_3
17_24_4_0,0_9_3_1
17_24_5_0,0_9_4
17_24_6,0_9_5
17_25_7,0_10_6
17_26_6_0,0_11_5
17_29_3,0_14_2
17_29_5,0_14_4
17_30_2,0_15_1
17_30_6_0,0_15_5
17_31_3_0,0_16_2
17_31_7,0_16_6
17_31_8_0,0_16_7
17_31_9_1,0_16_8
17_32_4_0,0_17_3
17_32_5,0_17_4
17_32_9_0,0_17_8
17_32_10,0_17_9
17_33_3,0_18_2
17_33_5_1,0_18_4
17_33_11,0_18_10
17_34_4_1,0_19_3
17_34_10_0,0_19_9
17_35_5_1,0_20_4
17_36_4,0_21_3
5_36_13,0_33_12
5_36_17,0_33_16
5_36_18,0_33_17
5_37_7,0_34_6
5_37_8,0_34_7
5_37_9,0_34_8
5_37_12,0_34_11
21_57_4,0_38_3
21_57_7,0_38_6_0
21_57_8_0,0_38_7
21_57_11_0,0_38_10
17_55_20_0,0_40_19
17_56_4_2,0_41_3
17_56_8_0,0_41_7
17_56_11_0,0_41_10_1
21_54_14_0,0_35_13
5_37_16,0_34_15
5_37_19,0_34_18
5_38_6,0_35_5
5_38_7,0_35_6
5_38_8,0_35_7
21_55_10,0_36_9
21_56_8,0_37_7
21_56_9_0,0_37_8
5_38_11,0_35_10
21_57_14,0_38_13
21_58_4,0_39_3
21_58_5,0_39_4_1
21_58_6,0_39_5_1
21_58_7,0_39_6
21_58_8,0_39_7
15_53_18_0,0_40_17
21_58_10_0,0_39_9_1
21_58_10_1,0_39_9_0 + 0_39_9_1
17_62_6_2,0_47_5
17_62_8_0,0_47_7_1
17_62_9_0,0_47_8_1
17_62_9_1,0_47_8_2
17_62_11_0,0_47_10
23_54_13_0,0_33_12
23_54_15_0,0_33_14
23_55_4,0_34_3
23_55_6_1,0_34_5
23_55_7_0,0_34_6
23_55_8,0_34_7
23_55_9,0_34_8
17_62_14_0,0_47_13_0
23_55_16,0_34_15
23_55_17_0,0_34_16
23_56_5_0,0_35_4
23_56_6,0_35_5
23_56_7_1,0_35_6
17_56_17,0_41_16
5_38_14,0_35_13
5_38_18,0_35_17
5_39_7,0_36_6
5_39_10,0_36_9
5_39_13,0_36_12
5_39_20,0_36_19
5_40_8,0_37_7
5_40_9,0_37_8
5_40_12,0_37_11
19_54_15_0,0_37_14
19_55_7_1,0_38_6_0
19_55_8,0_38_7
19_55_11_0,0_38_10
19_56_7,0_39_6
19_56_10_0,0_39_9_0
17_56_21_0,0_41_20
23_56_14,0_35_13
21_56_15,0_37_14
23_56_18_0,0_35_17
23_56_19_0,0_35_18
23_57_6_1,0_36_5
23_57_10_0,0_36_9
23_57_13,0_36_12
17_56_22,0_41_21
17_57_7,0_42_6
23_57_20,0_36_19
23_58_4,0_37_3
5_40_15,0_37_14
23_58_7_1,0_37_6
5_41_7,0_38_6_0
5_41_8,0_38_7
23_58_8,0_37_7
23_58_9,0_37_8
23_59_7_1,0_38_6_0
23_59_8_0,0_38_7
5_41_11_0,0_38_10
21_62_9_1,0_43_8
23_59_14,0_38_13
23_60_7_0,0_39_6
23_60_8_0,0_39_7
23_60_10_0,0_39_9_0
23_60_13_0,0_39_12
23_61_4,0_40_3
23_61_5_0,0_40_4_2
23_61_6_0,0_40_5_0
23_61_8_1,0_40_7
5_41_14,0_38_13
5_41_17,0_38_16
5_42_7,0_39_6
5_42_8_1,0_39_7
15_53_19_0,0_40_18
15_54_4_1,0_41_3
15_54_5_0,0_41_4
15_54_5_1,0_41_4
15_54_6_0,0_41_5
15_54_7_0,0_41_6_0
15_54_8_1,0_41_7
15_54_11_0,0_41_10_0
15_54_11_2,0_41_10_1
5_42_10_0,0_39_9_1
5_42_10_1,0_39_9_0 + 0_39_9_1
5_42_13,0_39_12
15_54_14_0,0_41_13
17_53_17_0,0_38_16
17_54_4_0,0_39_3
17_54_4_1,0_39_3
17_54_5_0,0_39_4_1
17_54_6_0,0_39_5_1
17_54_8_0,0_39_7
17_54_10_0,0_39_9_1
17_54_10_2,0_39_9_0
17_54_13_0,0_39_12
21_62_12_1,0_43_11
21_58_18,0_39_17
23_61_12_0,0_40_11
21_59_6_0,0_40_5_1
21_59_7_1,0_40_6
21_59_8,0_40_7
21_59_9,0_40_8
21_59_11_0,0_40_10
19_56_16_0,0_39_15
19_57_5,0_40_4_0
19_57_6_0,0_40_5_0
19_57_6_1,0_40_5_1
19_57_8_1,0_40_7
19_57_12_0,0_40_11
19_57_15_0,0_40_14
19_58_5,0_41_4
19_58_6_1,0_41_5
19_58_7,0_41_6_0
19_58_11_0,0_41_10_0
19_58_11_1,0_41_10_1
19_58_19,0_41_18
21_62_15_0,0_43_14
21_63_11_0,0_44_10
21_63_14,0_44_13
21_64_4,0_45_3
21_64_6_0,0_45_5_0
21_64_10_0,0_45_9
21_64_13,0_45_12
21_65_7_1,0_46_6
21_65_8_0,0_46_7_1
21_65_8_1,0_46_7_0
21_65_9_1,0_46_8
21_65_12_0,0_46_11
21_66_6_1,0_47_5
21_66_8_0,0_47_7_1
21_66_9_0,0_47_8_1
21_66_9_1,0_47_8_2
21_66_11_0,0_47_10
21_67_5_1,0_48_4
21_67_7,0_48_6
21_67_10_0,0_48_9
19_58_20_0,0_41_19
21_68_10_0,0_49_9_0
21_69_7_0,0_50_6_0
21_70_5,0_51_4
21_70_6,0_51_5
21_70_7_0,0_51_6
17_54_16_0,0_39_15
21_59_20_0,0_40_19
21_60_5,0_41_4
21_60_8_0,0_41_7
21_60_11_0,0_41_10_1
19_58_21_0,0_41_20
19_59_6_0,0_42_5
19_59_7_0,0_42_6
21_60_14_0,0_41_13
21_61_6_1,0_42_5
21_61_10_0,0_42_9
19_59_8_1,0_42_7
19_59_10_0,0_42_9
19_59_12_0,0_42_11
21_58_19,0_39_18
21_59_5_0,0_40_4_2
3_54_9,0_53_8
3_54_10,0_53_9
9_61_11_2,0_54_10
19_59_16_0,0_42_15
19_59_20_0,0_42_19
19_60_9_0,0_43_8
19_60_12_0,0_43_11
19_60_15_0,0_43_14
19_61_11_0,0_44_10
9_61_12_0,0_54_11
9_61_13_0,0_54_12
21_61_13_0,0_42_12
17_55_5_1,0_40_4_2
17_55_5_3,0_40_4_1
17_58_12,0_43_11
17_59_5_1,0_44_4
17_59_11_0,0_44_10
17_54_18_0,0_39_17
17_55_5_0,0_40_4_2
19_61_14_0,0_44_13
19_62_4,0_45_3
19_62_13_1,0_45_12
17_62_14_1,0_47_13_1
23_61_18,0_40_17
23_62_5_0,0_41_4
23_62_6_1,0_41_5
23_62_7_0,0_41_6_0
23_62_7_1,0_41_6_1
23_62_8_2,0_41_7
23_62_11_0,0_41_10_0
23_62_11_2,0_41_10_1
23_62_14_0,0_41_13
23_63_7_0,0_42_6
23_63_8_0,0_42_7
23_63_10_0,0_42_9
23_63_12,0_42_11
23_63_13,0_42_12
23_64_9_0,0_43_8
23_64_12,0_43_11
23_65_11_0,0_44_10
23_65_14_0,0_44_13
23_66_13,0_45_12
23_67_6_1,0_46_5
23_67_12_0,0_46_11
23_68_6,0_47_5
23_68_7_0,0_47_6
23_68_8_0,0_47_7_1
23_68_8_1,0_47_7_0
23_68_9_0,0_47_8_0
23_68_9_1,0_47_8_1
23_68_11_0,0_47_10
23_69_6_0,0_48_5
23_69_7_1,0_48_6
23_69_8_0,0_48_7_0
5_42_16,0_39_15
23_69_8_2,0_48_7_1
23_69_9_0,0_48_8_0
23_69_9_2,0_48_8_1
9_61_16,0_54_15
9_62_8_0,0_55_7
9_62_12_1,0_55_11_1
23_69_10_2,0_48_9
23_70_6_0,0_49_5
23_71_5,0_50_4
23_71_7_0,0_50_6_0
23_71_7_1,0_50_6_1
23_72_5,0_51_4
23_72_7_1,0_51_6
23_73_6_1,0_52_5
25_24_2,0_1_1
25_25_3,0_2_2
25_26_2,0_3_1
25_29_3,0_6_2
25_31_3_0,0_8_2
25_31_4,0_8_3
25_31_5_1,0_8_4
25_32_4_0,0_9_3_1
25_32_5,0_9_4
25_32_6_0,0_9_5
25_33_7_0,0_10_6
25_34_6_0,0_11_5
25_37_3,0_14_2
25_37_5_0,0_14_4
25_38_2,0_15_1
25_38_4_0,0_15_3
25_38_6_0,0_15_5
25_39_3_0,0_16_2
25_39_7_0,0_16_6
25_39_8,0_16_7
25_40_4_0,0_17_3
25_40_5_0,0_17_4
25_40_9,0_17_8
25_40_10_0,0_17_9
25_41_3_0,0_18_2
25_41_5_1,0_18_4
25_41_11_0,0_18_10
25_42_4_1,0_19_3
25_42_10,0_19_9
25_43_5_1,0_20_4
25_44_4_0,0_21_3
25_44_6_0,0_21_5
25_45_4_0,0_22_3
25_45_5_0,0_22_4
25_45_9_0,0_22_8
25_46_5_0,0_23_4_1
25_46_6_1,0_23_5
25_46_10_0,0_23_9
25_47_6_0,0_24_5
25_47_11,0_24_10
25_47_12,0_24_11
21_59_19_0,0_40_18
5_42_18,0_39_17
9_62_13_0,0_55_12_1
25_47_13_1,0_24_12
25_48_9_0,0_25_8
25_48_13,0_25_12
25_48_14_0,0_25_13
25_49_7,0_26_6
25_49_8,0_26_7
25_49_15_0,0_26_14
25_50_14,0_27_13
25_51_9_0,0_28_8
25_52_8_0,0_29_7
25_53_3,0_30_2
25_53_13_0,0_30_12
25_54_4_0,0_31_3
25_54_6_0,0_31_5_1
25_54_9_0,0_31_8
3_50_18,0_49_17
19_62_16_0,0_45_15
19_63_12,0_46_11
25_54_12_0,0_31_11
25_54_14_0,0_31_13
25_55_3,0_32_2
25_55_7_1,0_32_6
25_55_8,0_32_7
3_54_11_1,0_53_10
3_54_12,0_53_11
3_54_14,0_53_13
3_54_15,0_53_14
3_54_17,0_53_16
25_55_15,0_32_14
25_55_16,0_32_15
25_56_4_0,0_33_3
25_56_8,0_33_7
25_56_13_0,0_33_12
25_56_17,0_33_16
9_62_15_0,0_55_14
25_56_18_0,0_33_17
25_57_3,0_34_2
25_57_7,0_34_6
25_57_9_0,0_34_8
25_57_12_0,0_34_11
25_57_19_0,0_34_18
25_58_6,0_35_5
9_63_10_0,0_56_9
25_58_8_1,0_35_7
9_63_11_1,0_56_10_0
25_58_18,0_35_17
25_59_7_1,0_36_6
25_59_13_0,0_36_12
25_60_4,0_37_3
25_60_8_0,0_37_7
25_60_9_0,0_37_8
25_60_12_0,0_37_11
25_61_7_0,0_38_6_0
25_61_7_4,0_38_6_1
25_61_11_0,0_38_10
5_42_19,0_39_18
5_43_8_1,0_40_7
5_43_9,0_40_8
5_43_11,0_40_10
5_43_12,0_40_11
5_43_15,0_40_14
5_43_19,0_40_18
5_43_20,0_40_19
5_43_21,0_40_20
5_44_11,0_41_10_1
5_44_14,0_41_13
3_49_13,0_48_12
3_49_14,0_48_13
3_49_15,0_48_14
5_44_17,0_41_16
5_44_21,0_41_20
3_49_16,0_48_15
5_44_22,0_41_21
5_45_10,0_42_9
5_45_12,0_42_11
3_40_16,0_39_15
3_40_18,0_39_17
3_40_19,0_39_18
3_41_10,0_40_9
3_41_11,0_40_10
3_41_12,0_40_11
9_63_11_2,0_56_10_1
3_41_15,0_40_14
3_41_18,0_40_17
3_41_19,0_40_18
3_41_20,0_40_19
9_63_14_1,0_56_13
3_41_21,0_40_20
3_42_11_0,0_41_10_0
3_42_11_1,0_41_10_1
3_42_14,0_41_13
9_64_9,0_57_8
5_45_13,0_42_12
5_45_16,0_42_15
3_42_17,0_41_16
9_64_12_1,0_57_11
3_42_19,0_41_18
9_64_13,0_57_12
3_42_20,0_41_19
9_64_14_1,0_57_13_0
9_66_11_0,0_59_10
9_67_8_0,0_60_7
3_49_19,0_48_18
3_42_21,0_41_20
3_42_22,0_41_21
3_43_10,0_42_9
3_43_12,0_42_11
3_43_13,0_42_12
3_43_16,0_42_15
3_43_20,0_42_19
3_43_21,0_42_20
3_43_22,0_42_21
3_43_23,0_42_22
3_44_10,0_43_9
3_44_12,0_43_11
3_44_15,0_43_14
3_44_18,0_43_17
25_61_17_0,0_38_16
25_62_4_0,0_39_3
25_62_5_0,0_39_4_1
25_62_6_0,0_39_5_1
25_62_6_2,0_39_5_0
25_62_8_0,0_39_7
25_62_10_0,0_39_9_1
25_62_10_3,0_39_9_0
25_62_13_0,0_39_12
25_63_5_0,0_40_4_2
15_55_13,0_42_12
15_55_20_0,0_42_19
15_55_21_0,0_42_20
19_63_15_0,0_46_14
19_64_8_2,0_47_7_1
19_64_11,0_47_10
11_62_7_0,0_53_6
11_62_8_1,0_53_7
11_62_14,0_53_13
11_62_17,0_53_16
11_63_6_1,0_54_5
11_63_9_0,0_54_8
11_63_10_1,0_54_9
11_63_13,0_54_12
11_63_16_0,0_54_15
11_64_7_3,0_55_6
11_64_8_0,0_55_7
11_64_8_2,0_55_7
11_64_11,0_55_10
11_64_15_0,0_55_14
11_65_8_1,0_56_7
11_65_8_2,0_56_7
11_65_13_0,0_56_12
11_65_14_0,0_56_13
11_66_9_0,0_57_8
11_66_10_0,0_57_9
11_66_11_1,0_57_10
11_66_12_2,0_57_11
11_66_13,0_57_12
11_67_10_1,0_58_9
11_67_11_0,0_58_10
13_12_2,0_1_1
13_13_3,0_2_2
13_15_4,0_4_3
13_17_3,0_6_2
13_18_2,0_7_1
13_18_3_0,0_7_2
13_19_3_0,0_8_2
13_19_4,0_8_3
13_20_4_0,0_9_3_1
13_20_5_0,0_9_4
13_20_6_0,0_9_5
13_21_4,0_10_3
13_21_7,0_10_6
13_23_8,0_12_7
13_25_3,0_14_2
13_26_6_0,0_15_5
13_26_7_0,0_15_6
13_27_3,0_16_2
13_27_7,0_16_6
13_27_8,0_16_7
13_28_4,0_17_3
13_28_9_0,0_17_8
13_28_10_0,0_17_9
13_29_8_0,0_18_7
13_29_11,0_18_10
13_30_5,0_19_4
13_30_6,0_19_5
13_31_12,0_20_11
13_32_4,0_21_3
13_32_6_0,0_21_5
13_32_7_0,0_21_6
13_33_4,0_22_3
13_33_5_1,0_22_4
13_33_6_1,0_22_5
13_34_5_0,0_23_4_1
13_34_5_1,0_23_4_0
13_34_10_0,0_23_9
13_34_11_0,0_23_10
13_35_6,0_24_5
13_35_7_0,0_24_6
13_35_11,0_24_10
13_35_12,0_24_11
13_36_13_0,0_25_12
13_36_14_0,0_25_13
13_37_7_0,0_26_6
13_37_12_0,0_26_11
13_37_15,0_26_14
13_38_7_0,0_27_6
13_38_10,0_27_9
13_39_16,0_28_15
13_40_11_0,0_29_10
13_41_3,0_30_2
13_41_7,0_30_6
13_41_10_0,0_30_9
13_42_4,0_31_3
13_42_6,0_31_5_0 + 0_31_5_1
13_42_14_0,0_31_13
13_42_15_0,0_31_14
13_43_7_1,0_32_6
13_43_11_0,0_32_10
13_43_15,0_32_14
13_43_16,0_32_15
13_44_5,0_33_4_1
13_44_8,0_33_7
13_44_10_0,0_33_9
13_44_17_0,0_33_16
13_44_18_0,0_33_17
13_45_6,0_34_5
13_45_9_0,0_34_8
13_45_16_0,0_34_15
13_45_19,0_34_18
13_46_6,0_35_5
13_46_7_0,0_35_6
17_62_17_0,0_47_16
13_46_8_0,0_35_7
13_46_11_0,0_35_10
13_46_14,0_35_13
13_47_6_0,0_36_5
13_47_7_0,0_36_6
13_47_10_0,0_36_9
13_47_20,0_36_19
13_48_6_0,0_37_5
13_48_8_0,0_37_7
13_48_9_0,0_37_8
5_61_18,0_58_17
5_62_11_1,0_59_10
13_48_15_0,0_37_14
13_49_4,0_38_3
13_49_5_1,0_38_4
13_49_7_0,0_38_6_0
13_49_7_1,0_38_6_1 + 0_38_6_0
13_49_8_0,0_38_7
13_49_11_0,0_38_10
13_49_14_0,0_38_13
13_50_4_0,0_39_3
13_50_5,0_39_4_1
13_50_6_0,0_39_5_1
13_50_6_1,0_39_5_1
13_50_7,0_39_6
13_50_8,0_39_7
13_50_10_0,0_39_9_1
13_50_10_1,0_39_9_0 + 0_39_9_1
13_50_18_0,0_39_17
13_50_19_0,0_39_18
13_51_5_0,0_40_4_2
13_51_5_1,0_40_4_2
13_51_5_2,0_40_4_1
13_51_6_0,0_40_5_1
13_51_7_0,0_40_6
13_51_8_0,0_40_7
13_51_9_0,0_40_8
13_51_11,0_40_10
5_62_14,0_59_13
5_62_17,0_59_16
5_63_8_3,0_60_7
5_63_12_0,0_60_11
3_49_22,0_48_21
3_49_23,0_48_22
3_49_24,0_48_23
5_63_13_0,0_60_12_1
9_67_10_2,0_60_9
9_67_12_0,0_60_11
9_68_5,0_61_4
9_68_10_2,0_61_9_1
9_69_6_0,0_62_5_0
9_69_6_2,0_62_5_1
9_69_7_3,0_62_6
9_69_9_0,0_62_8_1
9_69_9_2,0_62_8_2
9_70_7_1,0_63_6_1
9_70_8_4,0_63_7_0
9_71_6_1,0_64_5
9_71_8_3,0_64_7_1
9_71_8_4,0_64_7_1
9_72_7_2,0_65_6
11_12_3,0_3_2
11_13_4,0_4_3
11_18_3,0_9_2
11_18_4_0,0_9_3_0 + 0_9_3_1
11_18_4_2,0_9_3_1
11_18_5_0,0_9_4
11_19_4,0_10_3
11_19_5,0_10_4
11_20_6_0,0_11_5
11_20_7,0_11_6
11_21_8,0_12_7
11_23_3,0_14_2
11_26_7_0,0_17_6
11_26_8_0,0_17_7
11_26_9_0,0_17_8
11_27_4,0_18_3
11_27_8,0_18_7
11_27_9,0_18_8
11_28_5,0_19_4
11_28_10_0,0_19_9
11_28_11,0_19_10
11_29_12,0_20_11
11_30_4,0_21_3
11_30_7,0_21_6
11_31_5,0_22_4
11_32_6,0_23_5
11_32_8_0,0_23_7
11_33_5,0_24_4
11_33_6,0_24_5
11_33_7_1,0_24_6
11_34_6_0,0_25_5
11_34_11_0,0_25_10
11_34_12_0,0_25_11
11_34_13_0,0_25_12
11_35_7_0,0_26_6
11_35_8_0,0_26_7
11_35_12,0_26_11
11_35_13,0_26_12
11_36_7,0_27_6
11_36_14_0,0_27_13
11_36_15,0_27_14
11_37_16,0_28_15
11_38_8_0,0_29_7
11_38_11,0_29_10
11_40_12_0,0_31_11
11_41_4,0_32_3
11_41_8,0_32_7
11_41_11_0,0_32_10
11_42_5,0_33_4_1
11_42_7_1,0_33_6
11_42_8_1,0_33_7
11_42_15_0,0_33_14
11_42_16_0,0_33_15
11_42_17_0,0_33_16
11_43_6,0_34_5
11_43_8,0_34_7
11_43_12_0,0_34_11
11_43_16,0_34_15
11_43_17,0_34_16
11_44_11,0_35_10
11_44_18_0,0_35_17
11_44_19,0_35_18
11_45_10,0_36_9
11_45_20,0_36_19
11_46_8,0_37_7
11_46_9,0_37_8
11_46_12_0,0_37_11
11_46_15,0_37_14
11_47_7,0_38_6_0
11_47_8_0,0_38_7
11_47_11,0_38_10
11_48_5,0_39_4_0
11_48_6,0_39_5_1
11_48_7_0,0_39_6
11_48_8_0,0_39_7
11_48_10,0_39_9_0
3_49_25,0_48_24
3_50_10_0,0_49_9_0
3_50_10_1,0_49_9_1
3_50_12,0_49_11
3_50_13,0_49_12
3_50_15_0,0_49_14_0
3_50_15_1,0_49_14_1
9_8_2_0,0_1_1
9_9_3_0,0_2_2
9_10_2,0_3_1
9_13_3,0_6_2
9_14_2,0_7_1
9_15_3,0_8_2
9_15_4,0_8_3
9_15_5_1,0_8_4
9_16_4,0_9_3_1
9_16_5,0_9_4
9_16_6_0,0_9_5
9_17_4,0_10_3
9_17_7_0,0_10_6
9_18_6,0_11_5
9_21_3,0_14_2
9_21_5_0,0_14_4
9_22_4_0,0_15_3
9_22_6_0,0_15_5
9_23_3,0_16_2
9_23_7,0_16_6
9_23_8,0_16_7
9_23_9_1,0_16_8
9_24_4_0,0_17_3
