name,n,stem,Adams filtration,shift,tautorsion,h0info,h0target,h1info,h1target,h2info,h2target,h3info,h3target,E,H,P,C2,label,angle,drinfo,drtarget,nulldif,XX
64_0_0,64,0,0,0,0,,64_0_1,,64_1_1,,64_3_1,,,65_0_0,,,,64_0_0,,,,,XX
65_0_0,65,0,0,0,0,,65_0_1,,65_1_1,,65_3_1,,,66_0_0,,32_31_2,,65_0_0,,,,,XX
66_0_0,66,0,0,0,0,,66_0_1,,66_1_1,,66_3_1,,,67_0_0,,,,66_0_0,,,,,XX
67_0_0,67,0,0,0,0,,67_0_1,,67_1_1,,67_3_1,,,68_0_0,,33_32_2_0,,67_0_0,,,,,XX
68_0_0,68,0,0,0,0,,68_0_1,,68_1_1,,68_3_1,,,69_0_0,,,,68_0_0,,,,,XX
69_0_0,69,0,0,0,0,,69_0_1,,69_1_1,,69_3_1,,,70_0_0,,34_33_2,,69_0_0,,,,,XX
70_0_0,70,0,0,0,0,,70_0_1,,70_1_1,,70_3_1,,,71_0_0,,,,70_0_0,,,,,XX
71_0_0,71,0,0,0,0,,71_0_1,,71_1_1,,71_3_1,,,72_0_0,,35_34_2,,71_0_0,,,,,XX
72_0_0,72,0,0,0,0,,72_0_1,,72_1_1,,72_3_1,,,73_0_0,,,,72_0_0,,,,,XX
73_0_0,73,0,0,0,0,,73_0_1,,73_1_1,,73_3_1,,,74_0_0,,36_35_2,,73_0_0,,,,,XX
74_0_0,74,0,0,0,0,,74_0_1,,74_1_1,,74_3_1,,,75_0_0,,,,74_0_0,,,,,XX
75_0_0,75,0,0,0,0,,75_0_1,,75_1_1,,75_3_1,,,76_0_0,,37_36_2,,75_0_0,,,,,XX
76_0_0,76,0,0,0,0,,76_0_1,,76_1_1,,76_3_1,,,77_0_0,,,,76_0_0,,,,,XX
77_0_0,77,0,0,0,0,,77_0_1,,77_1_1,,77_3_1,,,78_0_0,,38_37_2,,77_0_0,,,,,XX
78_0_0,78,0,0,0,0,,78_0_1,,78_1_1,,78_3_1,,,79_0_0,,,,78_0_0,,,,,XX
79_0_0,79,0,0,0,0,,79_0_1,,79_1_1,,79_3_1,,,80_0_0,,39_38_2_0,,79_0_0,,,,,XX
80_0_0,80,0,0,0,0,,,,,,,,,81_0_0,,,,80_0_0,,,,,XX
81_0_0,81,0,0,0,0,,,,,,,,,82_0_0,,40_39_2,,81_0_0,,,,,XX
82_0_0,82,0,0,0,0,,,,,,,,,83_0_0,,,,82_0_0,,,,,XX
83_0_0,83,0,0,0,0,,,,,,,,,84_0_0,,41_40_2,,83_0_0,,,,,XX
84_0_0,84,0,0,0,0,,,,,,,,,85_0_0,,,,84_0_0,,,,,XX
85_0_0,85,0,0,0,0,,,,,,,,,86_0_0,,42_41_2,,85_0_0,,,,,XX
86_0_0,86,0,0,0,0,,,,,,,,,87_0_0,,,,86_0_0,,,,,XX
87_0_0,87,0,0,0,0,,,,,,,,,88_0_0,,43_42_2,,87_0_0,,,,,XX
88_0_0,88,0,0,0,0,,,,,,,,,89_0_0,,,,88_0_0,,,,,XX
89_0_0,89,0,0,0,0,,,,,,,,,90_0_0,,44_43_2,,89_0_0,,,,,XX
90_0_0,90,0,0,0,0,,,,,,,,,91_0_0,,,,90_0_0,,,,,XX
91_0_0,91,0,0,0,0,,,,,,,,,92_0_0,,45_44_2,,91_0_0,,,,,XX
92_0_0,92,0,0,0,0,,,,,,,,,93_0_0,,,,92_0_0,,,,,XX
93_0_0,93,0,0,0,0,,,,,,,,,94_0_0,,46_45_2,,93_0_0,,,,,XX
94_0_0,94,0,0,0,0,,,,,,,,,95_0_0,,,,94_0_0,,,,,XX
95_0_0,95,0,0,0,0,,,,,,,,,96_0_0,,47_46_2,,95_0_0,,,,,XX
96_0_0,96,0,0,0,0,,,,,,,,,97_0_0,,,,96_0_0,,,,,XX
97_0_0,97,0,0,0,0,,,,,,,,,98_0_0,,48_47_2,,97_0_0,,,,,XX
98_0_0,98,0,0,0,0,,,,,,,,,99_0_0,,,,98_0_0,,,,,XX
99_0_0,99,0,0,0,0,,,,,,,,,100_0_0,,49_48_2,,99_0_0,,,,,XX
100_0_0,100,0,0,0,0,,,,,,,,,101_0_0,,,,100_0_0,,,,,XX
101_0_0,101,0,0,0,0,,,,,,,,,102_0_0,,50_49_2,,101_0_0,,,,,XX
102_0_0,102,0,0,0,0,,,,,,,,,103_0_0,,,,102_0_0,,,,,XX
103_0_0,103,0,0,0,0,,,,,,,,,104_0_0,,51_50_2,,103_0_0,,,,,XX
104_0_0,104,0,0,0,0,,,,,,,,,105_0_0,,,,104_0_0,,,,,XX
105_0_0,105,0,0,0,0,,,,,,,,,106_0_0,,52_51_2,,105_0_0,,,,,XX
106_0_0,106,0,0,0,0,,,,,,,,,107_0_0,,,,106_0_0,,,,,XX
107_0_0,107,0,0,0,0,,,,,,,,,108_0_0,,53_52_2,,107_0_0,,,,,XX
108_0_0,108,0,0,0,0,,,,,,,,,109_0_0,,,,108_0_0,,,,,XX
109_0_0,109,0,0,0,0,,,,,,,,,110_0_0,,54_53_2,,109_0_0,,,,,XX
110_0_0,110,0,0,0,0,,,,,,,,,111_0_0,,,,110_0_0,,,,,XX
111_0_0,111,0,0,0,0,,,,,,,,,112_0_0,,55_54_2,,111_0_0,,,,,XX
112_0_0,112,0,0,0,0,,,,,,,,,113_0_0,,,,112_0_0,,,,,XX
113_0_0,113,0,0,0,0,,,,,,,,,114_0_0,,56_55_2,,113_0_0,,,,,XX
114_0_0,114,0,0,0,0,,,,,,,,,115_0_0,,,,114_0_0,,,,,XX
115_0_0,115,0,0,0,0,,,,,,,,,116_0_0,,57_56_2,,115_0_0,,,,,XX
116_0_0,116,0,0,0,0,,,,,,,,,117_0_0,,,,116_0_0,,,,,XX
117_0_0,117,0,0,0,0,,,,,,,,,118_0_0,,58_57_2,,117_0_0,,,,,XX
118_0_0,118,0,0,0,0,,,,,,,,,119_0_0,,,,118_0_0,,,,,XX
119_0_0,119,0,0,0,0,,,,,,,,,120_0_0,,59_58_2,,119_0_0,,,,,XX
120_0_0,120,0,0,0,0,,,,,,,,,121_0_0,,,,120_0_0,,,,,XX
121_0_0,121,0,0,0,0,,,,,,,,,122_0_0,,60_59_2,,121_0_0,,,,,XX
122_0_0,122,0,0,0,0,,,,,,,,,123_0_0,,,,122_0_0,,,,,XX
123_0_0,123,0,0,0,0,,,,,,,,,124_0_0,,61_60_2,,123_0_0,,,,,XX
124_0_0,124,0,0,0,0,,,,,,,,,125_0_0,,,,124_0_0,,,,,XX
125_0_0,125,0,0,0,0,,,,,,,,,126_0_0,,62_61_2,,125_0_0,,,,,XX
126_0_0,126,0,0,0,0,,,,,,,,,127_0_0,,,,126_0_0,,,,,XX
127_0_0,127,0,0,0,0,,,,,,,,,128_0_0,,,,127_0_0,,,,,XX
128_0_0,128,0,0,0,0,,,,,,,,,129_0_0,,,,128_0_0,,,,,XX
129_0_0,129,0,0,0,0,,,,,,,,,130_0_0,,64_63_2,,129_0_0,,,,,XX
130_0_0,130,0,0,0,0,,,,,,,,,131_0_0,,,,130_0_0,,,,,XX
131_0_0,131,0,0,0,0,,,,,,,,,132_0_0,,65_64_2_0,,131_0_0,,,,,XX
132_0_0,132,0,0,0,0,,,,,,,,,133_0_0,,,,132_0_0,,,,,XX
133_0_0,133,0,0,0,0,,,,,,,,,134_0_0,,66_65_2,,133_0_0,,,,,XX
134_0_0,134,0,0,0,0,,,,,,,,,135_0_0,,,,134_0_0,,,,,XX
135_0_0,135,0,0,0,0,,,,,,,,,136_0_0,,67_66_2,,135_0_0,,,,,XX
136_0_0,136,0,0,0,0,,,,,,,,,137_0_0,,,,136_0_0,,,,,XX
137_0_0,137,0,0,0,0,,,,,,,,,138_0_0,,68_67_2,,137_0_0,,,,,XX
138_0_0,138,0,0,0,0,,,,,,,,,139_0_0,,,,138_0_0,,,,,XX
139_0_0,139,0,0,0,0,,,,,,,,,140_0_0,,69_68_2,,139_0_0,,,,,XX
140_0_0,140,0,0,0,0,,,,,,,,,141_0_0,,,,140_0_0,,,,,XX
141_0_0,141,0,0,0,0,,,,,,,,,142_0_0,,70_69_2,,141_0_0,,,,,XX
142_0_0,142,0,0,0,0,,,,,,,,,143_0_0,,,,142_0_0,,,,,XX
143_0_0,143,0,0,0,0,,,,,,,,,144_0_0,,71_70_2,,143_0_0,,,,,XX
144_0_0,144,0,0,0,0,,,,,,,,,145_0_0,,,,144_0_0,,,,,XX
145_0_0,145,0,0,0,0,,,,,,,,,146_0_0,,72_71_2,,145_0_0,,,,,XX
146_0_0,146,0,0,0,0,,,,,,,,,147_0_0,,,,146_0_0,,,,,XX
147_0_0,147,0,0,0,0,,,,,,,,,148_0_0,,73_72_2,,147_0_0,,,,,XX
148_0_0,148,0,0,0,0,,,,,,,,,149_0_0,,,,148_0_0,,,,,XX
149_0_0,149,0,0,0,0,,,,,,,,,150_0_0,,74_73_2,,149_0_0,,,,,XX
150_0_0,150,0,0,0,0,,,,,,,,,151_0_0,,,,150_0_0,,,,,XX
151_0_0,151,0,0,0,0,,,,,,,,,152_0_0,,75_74_2,,151_0_0,,,,,XX
152_0_0,152,0,0,0,0,,,,,,,,,,,,,152_0_0,,,,,XX
0_0_1,0,0,1,0,0,,,,,,,,,,,,,0_0_1,,,,,XX
0_1_0,0,1,0,0,0,,,,,,,,,,,,,0_1_0,,,,,XX
2_0_1,2,0,1,0,0,,2_0_2,,,,,,,3_0_1,,,,2_0_1,,,,,XX
3_0_1,3,0,1,0,0,,3_0_2,,,,,,,4_0_1,,,,3_0_1,,,,,XX
4_0_1,4,0,1,0,0,,4_0_2,,,,4_3_2_0,,,5_0_1,,,,4_0_1,,,,,XX
5_0_1,5,0,1,0,0,,5_0_2,,,,5_3_2,,,6_0_1,,2_1_3,,5_0_1,,,,,XX
6_0_1,6,0,1,0,0,,6_0_2,,,,6_3_2,,,7_0_1,,,,6_0_1,,,,,XX
7_0_1,7,0,1,0,0,,7_0_2,,,,7_3_2,,,8_0_1,,,,7_0_1,,,,,XX
8_0_1,8,0,1,0,0,,8_0_2,,,,8_3_2,,8_7_2_0,9_0_1,,,,8_0_1,,,,,XX
9_0_1,9,0,1,0,0,,9_0_2,,,,9_3_2,,9_7_2,10_0_1,,4_3_3_1,,9_0_1,,,,,XX
10_0_1,10,0,1,0,0,,10_0_2,,,,10_3_2,,10_7_2,11_0_1,,,,10_0_1,,,,,XX
11_0_1,11,0,1,0,0,,11_0_2,,,,11_3_2,,11_7_2,12_0_1,,,,11_0_1,,,,,XX
12_0_1,12,0,1,0,0,,12_0_2,,,,12_3_2,,12_7_2,13_0_1,,,,12_0_1,,,,,XX
13_0_1,13,0,1,0,0,,13_0_2,,,,13_3_2,,13_7_2,14_0_1,,6_5_3,,13_0_1,,,,,XX
14_0_1,14,0,1,0,0,,14_0_2,,,,14_3_2,,14_7_2,15_0_1,,,,14_0_1,,,,,XX
15_0_1,15,0,1,0,0,,15_0_2,,,,15_3_2,,15_7_2,16_0_1,,,,15_0_1,,,,,XX
16_0_1,16,0,1,0,0,,16_0_2,,,,16_3_2,,16_7_2,17_0_1,,,,16_0_1,,,,,XX
17_0_1,17,0,1,0,0,,17_0_2,,,,17_3_2,,17_7_2,18_0_1,,8_7_3_1,,17_0_1,,,,,XX
18_0_1,18,0,1,0,0,,18_0_2,,,,18_3_2,,18_7_2,19_0_1,,,,18_0_1,,,,,XX
19_0_1,19,0,1,0,0,,19_0_2,,,,19_3_2,,19_7_2,20_0_1,,,,19_0_1,,,,,XX
20_0_1,20,0,1,0,0,,20_0_2,,,,20_3_2,,20_7_2,21_0_1,,,,20_0_1,,,,,XX
21_0_1,21,0,1,0,0,,21_0_2,,,,21_3_2,,21_7_2,22_0_1,,10_9_3_1,,21_0_1,,,,,XX
22_0_1,22,0,1,0,0,,22_0_2,,,,22_3_2,,22_7_2,23_0_1,,,,22_0_1,,,,,XX
23_0_1,23,0,1,0,0,,23_0_2,,,,23_3_2,,23_7_2,24_0_1,,,,23_0_1,,,,,XX
24_0_1,24,0,1,0,0,,24_0_2,,,,24_3_2,,24_7_2,25_0_1,,,,24_0_1,,,,,XX
25_0_1,25,0,1,0,0,,25_0_2,,,,25_3_2,,25_7_2,26_0_1,,12_11_3,,25_0_1,,,,,XX
26_0_1,26,0,1,0,0,,26_0_2,,,,26_3_2,,26_7_2,27_0_1,,,,26_0_1,,,,,XX
27_0_1,27,0,1,0,0,,27_0_2,,,,27_3_2,,27_7_2,28_0_1,,,,27_0_1,,,,,XX
28_0_1,28,0,1,0,0,,28_0_2,,,,28_3_2,,28_7_2,29_0_1,,,,28_0_1,,,,,XX
29_0_1,29,0,1,0,0,,29_0_2,,,,29_3_2,,29_7_2,30_0_1,,14_13_3,,29_0_1,,,,,XX
30_0_1,30,0,1,0,0,,30_0_2,,,,30_3_2,,30_7_2,31_0_1,,,,30_0_1,,,,,XX
31_0_1,31,0,1,0,0,,31_0_2,,,,31_3_2,,31_7_2,32_0_1,,,,31_0_1,,,,,XX
32_0_1,32,0,1,0,0,,32_0_2,,,,32_3_2,,32_7_2,33_0_1,,,,32_0_1,,,,,XX
33_0_1,33,0,1,0,0,,33_0_2,,,,33_3_2,,33_7_2,34_0_1,,16_15_3,,33_0_1,,,,,XX
34_0_1,34,0,1,0,0,,34_0_2,,,,34_3_2,,34_7_2,35_0_1,,,,34_0_1,,,,,XX
35_0_1,35,0,1,0,0,,35_0_2,,,,35_3_2,,35_7_2,36_0_1,,,,35_0_1,,,,,XX
36_0_1,36,0,1,0,0,,36_0_2,,,,36_3_2,,36_7_2,37_0_1,,,,36_0_1,,,,,XX
37_0_1,37,0,1,0,0,,37_0_2,,,,37_3_2,,37_7_2,38_0_1,,18_17_3_1,,37_0_1,,,,,XX
38_0_1,38,0,1,0,0,,38_0_2,,,,38_3_2,,38_7_2,39_0_1,,,,38_0_1,,,,,XX
39_0_1,39,0,1,0,0,,39_0_2,,,,39_3_2,,39_7_2,40_0_1,,,,39_0_1,,,,,XX
40_0_1,40,0,1,0,0,,40_0_2,,,,40_3_2,,40_7_2,41_0_1,,,,40_0_1,,,,,XX
41_0_1,41,0,1,0,0,,41_0_2,,,,41_3_2,,41_7_2,42_0_1,,20_19_3_1,,41_0_1,,,,,XX
42_0_1,42,0,1,0,0,,42_0_2,,,,42_3_2,,42_7_2,43_0_1,,,,42_0_1,,,,,XX
43_0_1,43,0,1,0,0,,43_0_2,,,,43_3_2,,43_7_2,44_0_1,,,,43_0_1,,,,,XX
44_0_1,44,0,1,0,0,,44_0_2,,,,44_3_2,,44_7_2,45_0_1,,,,44_0_1,,,,,XX
45_0_1,45,0,1,0,0,,45_0_2,,,,45_3_2,,45_7_2,46_0_1,,22_21_3_1,,45_0_1,,,,,XX
46_0_1,46,0,1,0,0,,46_0_2,,,,46_3_2,,46_7_2,47_0_1,,,,46_0_1,,,,,XX
47_0_1,47,0,1,0,0,,47_0_2,,,,47_3_2,,47_7_2,48_0_1,,,,47_0_1,,,,,XX
48_0_1,48,0,1,0,0,,48_0_2,,,,48_3_2,,48_7_2,49_0_1,,,,48_0_1,,,,,XX
49_0_1,49,0,1,0,0,,49_0_2,,,,49_3_2,,49_7_2,50_0_1,,24_23_3,,49_0_1,,,,,XX
50_0_1,50,0,1,0,0,,50_0_2,,,,50_3_2,,50_7_2,51_0_1,,,,50_0_1,,,,,XX
51_0_1,51,0,1,0,0,,51_0_2,,,,51_3_2,,51_7_2,52_0_1,,,,51_0_1,,,,,XX
52_0_1,52,0,1,0,0,,52_0_2,,,,52_3_2,,52_7_2,53_0_1,,,,52_0_1,,,,,XX
53_0_1,53,0,1,0,0,,53_0_2,,,,53_3_2,,53_7_2,54_0_1,,26_25_3,,53_0_1,,,,,XX
54_0_1,54,0,1,0,0,,54_0_2,,,,54_3_2,,54_7_2,55_0_1,,,,54_0_1,,,,,XX
55_0_1,55,0,1,0,0,,55_0_2,,,,55_3_2,,55_7_2,56_0_1,,,,55_0_1,,,,,XX
56_0_1,56,0,1,0,0,,56_0_2,,,,56_3_2,,56_7_2,57_0_1,,,,56_0_1,,,,,XX
57_0_1,57,0,1,0,0,,57_0_2,,,,57_3_2,,57_7_2,58_0_1,,28_27_3,,57_0_1,,,,,XX
58_0_1,58,0,1,0,0,,58_0_2,,,,58_3_2,,58_7_2,59_0_1,,,,58_0_1,,,,,XX
59_0_1,59,0,1,0,0,,59_0_2,,,,59_3_2,,59_7_2,60_0_1,,,,59_0_1,,,,,XX
60_0_1,60,0,1,0,0,,60_0_2,,,,60_3_2,,60_7_2,61_0_1,,,,60_0_1,,,,,XX
61_0_1,61,0,1,0,0,,61_0_2,,,,61_3_2,,61_7_2,62_0_1,,30_29_3,,61_0_1,,,,,XX
62_0_1,62,0,1,0,0,,62_0_2,,,,62_3_2,,62_7_2,63_0_1,,,,62_0_1,,,,,XX
63_0_1,63,0,1,0,0,,63_0_2,,,,63_3_2,,63_7_2,64_0_1,,,,63_0_1,,,,,XX
64_0_1,64,0,1,0,0,,64_0_2,,,,64_3_2,,64_7_2,65_0_1,,,,64_0_1,,,,,XX
65_0_1,65,0,1,0,0,,65_0_2,,,,65_3_2,,65_7_2,66_0_1,,32_31_3_1,,65_0_1,,,,,XX
66_0_1,66,0,1,0,0,,66_0_2,,,,66_3_2,,66_7_2,67_0_1,,,,66_0_1,,,,,XX
67_0_1,67,0,1,0,0,,67_0_2,,,,67_3_2,,67_7_2,68_0_1,,,,67_0_1,,,,,XX
68_0_1,68,0,1,0,0,,68_0_2,,,,68_3_2,,68_7_2,69_0_1,,,,68_0_1,,,,,XX
69_0_1,69,0,1,0,0,,69_0_2,,,,69_3_2,,69_7_2,70_0_1,,34_33_3_1,,69_0_1,,,,,XX
70_0_1,70,0,1,0,0,,70_0_2,,,,70_3_2,,70_7_2,71_0_1,,,,70_0_1,,,,,XX
71_0_1,71,0,1,0,0,,71_0_2,,,,71_3_2,,71_7_2,72_0_1,,,,71_0_1,,,,,XX
72_0_1,72,0,1,0,0,,72_0_2,,,,72_3_2,,72_7_2,73_0_1,,,,72_0_1,,,,,XX
73_0_1,73,0,1,0,0,,73_0_2,,,,73_3_2,,73_7_2,74_0_1,,36_35_3,,73_0_1,,,,,XX
74_0_1,74,0,1,0,0,,74_0_2,,,,74_3_2,,74_7_2,75_0_1,,,,74_0_1,,,,,XX
75_0_1,75,0,1,0,0,,75_0_2,,,,75_3_2,,75_7_2,76_0_1,,,,75_0_1,,,,,XX
76_0_1,76,0,1,0,0,,76_0_2,,,,76_3_2,,76_7_2,77_0_1,,,,76_0_1,,,,,XX
77_0_1,77,0,1,0,0,,77_0_2,,,,77_3_2,,77_7_2,78_0_1,,38_37_3_1,,77_0_1,,,,,XX
78_0_1,78,0,1,0,0,,78_0_2,,,,78_3_2,,78_7_2,79_0_1,,,,78_0_1,,,,,XX
79_0_1,79,0,1,0,0,,79_0_2,,,,79_3_2,,79_7_2,80_0_1,,,,79_0_1,,,,,XX
80_0_1,80,0,1,0,0,,,,,,,,,81_0_1,,,,80_0_1,,,,,XX
81_0_1,81,0,1,0,0,,,,,,,,,82_0_1,,40_39_3_1,,81_0_1,,,,,XX
82_0_1,82,0,1,0,0,,,,,,,,,83_0_1,,,,82_0_1,,,,,XX
83_0_1,83,0,1,0,0,,,,,,,,,84_0_1,,,,83_0_1,,,,,XX
84_0_1,84,0,1,0,0,,,,,,,,,85_0_1,,,,84_0_1,,,,,XX
85_0_1,85,0,1,0,0,,,,,,,,,86_0_1,,42_41_3,,85_0_1,,,,,XX
86_0_1,86,0,1,0,0,,,,,,,,,87_0_1,,,,86_0_1,,,,,XX
87_0_1,87,0,1,0,0,,,,,,,,,88_0_1,,,,87_0_1,,,,,XX
88_0_1,88,0,1,0,0,,,,,,,,,89_0_1,,,,88_0_1,,,,,XX
